11	11	19	1
20	20	19	1
20	22	21	0
20	22	21	1
11	12	21	1
11	11	19	0
11	11	19	1
20	20	19	1
20	20	20	0
20	20	20	1
11	11	20	1
11	11	19	0
20	20	19	1
20	22	21	1
20	22	22	0
20	22	22	1
20	20	20	1
20	20	19	0
20	22	21	1
20	22	22	1
11	12	22	0
11	12	22	1
11	12	21	1
20	22	21	0
11	12	21	1
11	12	22	1
11	11	20	0
11	11	20	1
11	11	19	1
11	12	21	0
11	11	20	1
20	20	20	1
20	22	22	0
20	22	22	1
11	12	22	1
11	11	20	0
20	20	11	1
21	21	11	1
21	23	13	0
21	23	13	1
20	22	13	1
20	20	11	0
20	20	20	1
21	21	20	1
21	23	22	0
21	23	22	1
20	22	22	1
20	20	20	0
20	20	11	1
21	21	11	1
21	21	20	0
21	21	20	1
20	20	20	1
20	20	11	0
21	21	11	1
21	23	13	1
21	23	22	0
21	23	22	1
21	21	20	1
21	21	11	0
21	23	13	1
21	23	22	1
20	22	22	0
20	22	22	1
20	22	13	1
21	23	13	0
20	20	11	1
20	22	13	1
20	22	22	0
20	22	22	1
20	20	20	1
20	20	11	0
12	12	11	1
20	20	11	1
20	20	12	0
20	20	12	1
12	12	12	1
12	12	11	0
20	20	11	1
20	22	13	1
20	22	14	0
20	22	14	1
20	20	12	1
20	20	11	0
20	22	13	1
20	22	14	1
12	14	14	0
12	14	14	1
12	14	13	1
20	22	13	0
12	12	11	1
12	14	13	1
12	14	14	0
12	14	14	1
12	12	12	1
12	12	11	0
12	12	11	1
20	20	11	1
20	22	13	0
20	22	13	1
12	14	13	1
12	12	11	0
12	12	12	1
20	20	12	1
20	22	14	0
20	22	14	1
12	14	14	1
12	12	12	0
11	11	4	1
12	12	4	1
12	14	6	0
12	14	6	1
11	13	6	1
11	11	4	0
11	11	12	1
12	12	12	1
12	14	14	0
12	14	14	1
11	13	14	1
11	11	12	0
11	11	4	1
12	12	4	1
12	12	12	0
12	12	12	1
11	11	12	1
11	11	4	0
12	12	4	1
12	14	6	1
12	14	14	0
12	14	14	1
12	12	12	1
12	12	4	0
12	14	6	1
12	14	14	1
11	13	14	0
11	13	14	1
11	13	6	1
12	14	6	0
11	11	4	1
11	13	6	1
11	13	14	0
11	13	14	1
11	11	12	1
11	11	4	0
12	12	4	1
21	21	4	1
21	23	6	0
21	23	6	1
12	14	6	1
12	12	4	0
12	12	5	1
21	21	5	1
21	23	7	0
21	23	7	1
12	14	7	1
12	12	5	0
12	12	4	1
21	21	4	1
21	21	5	0
21	21	5	1
12	12	5	1
12	12	4	0
21	21	4	1
21	23	6	1
21	23	7	0
21	23	7	1
21	21	5	1
21	21	4	0
21	23	6	1
21	23	7	1
12	14	7	0
12	14	7	1
12	14	6	1
21	23	6	0
12	12	4	1
12	14	6	1
12	14	7	0
12	14	7	1
12	12	5	1
12	12	4	0
